3.0000,-14.52897797
3.1000,-17.14501695
3.2000,-19.45636334
3.3000,-21.50192074
3.4000,-23.31403714
3.5000,-24.92020231
3.6000,-26.34403915
3.7000,-27.60615407
3.8000,-28.72482997
3.9000,-29.71621125
4.0000,-30.59465950
4.1000,-31.37296066
4.2000,-32.06240968
4.3000,-32.67305996
4.4000,-33.21379324
4.5000,-33.69246483
4.6000,-34.11603195
4.7000,-34.49062115
4.8000,-34.82164819
4.9000,-35.11387669
5.0000,-35.37150371
5.1000,-35.59823347
5.2000,-35.79732393
5.3000,-35.97166678
5.4000,-36.12382556
5.5000,-36.25608080
5.6000,-36.37046110
5.7000,-36.46877674
5.8000,-36.55266647
5.9000,-36.62358553
6.0000,-36.68284694
6.1000,-36.73163544
6.2000,-36.77101985
6.3000,-36.80196702
6.4000,-36.82535346
6.5000,-36.84197040
6.6000,-36.85253672
6.7000,-36.85771041
6.8000,-36.85808120
6.9000,-36.85419528
7.0000,-36.84654358
7.1000,-36.83557621
7.2000,-36.82171194
7.3000,-36.80532498
7.4000,-36.78675349
7.5000,-36.76630800
7.6000,-36.74428762
7.7000,-36.72094348
7.8000,-36.69652720
7.9000,-36.67125087
8.0000,-36.64531527
8.1000,-36.61890023
